EVENT_ID,CZ_NAME_STR,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,Rain Fall (In),DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,Latitude,Longitude,Wind Speed,Min Pressure,CAT,COUNTY RISK
5568568,ALAMANCE (ZONE),7/12/1996,800,Hurricane (Typhoon),0.82,0,0,0,0,NC,EST,2045671,Z,23,RAH,0,0,31.63,-78.55,77,979,1,0
5580042,ALAMANCE (ZONE),9/5/1996,1700,Hurricane (Typhoon),6.65,1,0,0,0,NC,EST,2053170,Z,23,RAH,0,0,32.3,-77.8,100,952,2,0
5724260,ALAMANCE (ZONE),9/4/1999,2100,Hurricane (Typhoon),3.61,0,0,0,3000000,NC,EST,2414680,Z,23,RAH,0,0,34.8,-76.5,60,984,0,3
5724413,ALAMANCE (ZONE),9/15/1999,1600,Hurricane (Typhoon),3.75,0,0,3000000000,500000000,NC,EST,1088948,Z,23,RAH,0,0,29.92,-79.06,100,943,2,3
789610,ALAMANCE (ZONE),10/11/2018,1100,Tropical Storm,-999,0,0,500000,0,NC,EST-5,131955,Z,23,RAH,0,0,34.1,-81.7,45,987,0,1
791108,ALEXANDER (ZONE),10/11/2018,1100,Tropical Storm,-999,0,0,1000,0,NC,EST-5,132213,Z,35,GSP,0,0,34.1,-81.7,45,987,0,1
5568586,ANSON (ZONE),7/12/1996,800,Hurricane (Typhoon),0.22,0,0,0,0,NC,EST,2045671,Z,83,RAH,0,0,31.63,-78.55,77,979,1,0
5580060,ANSON (ZONE),9/5/1996,1700,Hurricane (Typhoon),1.17,0,0,0,0,NC,EST,2053170,Z,83,RAH,0,0,32.3,-77.8,100,952,2,0
5724261,ANSON (ZONE),9/4/1999,2100,Hurricane (Typhoon),2.03,0,0,0,0,NC,EST,2414680,Z,83,RAH,0,0,34.8,-76.5,60,984,0,0
5724414,ANSON (ZONE),9/15/1999,1600,Hurricane (Typhoon),2.06,0,0,0,0,NC,EST,1088948,Z,83,RAH,0,0,29.92,-79.06,100,943,2,0
660119,ANSON (ZONE),9/2/2016,1830,Tropical Storm,-999,0,0,10000,0,NC,EST-5,110529,Z,83,RAH,0,0,32.4,-81.2,50,990,0,0
787176,ANSON (ZONE),9/15/2018,530,Tropical Storm,-999,0,0,500000,0,NC,EST-5,131166,Z,83,RAH,0,0,33.7,-79.3,55,986,0,0
789618,ANSON (ZONE),10/11/2018,1100,Tropical Storm,6.29,0,0,50000,0,NC,EST-5,131955,Z,83,RAH,0,0,34.1,-81.7,45,987,0,0
926381,ASHE (ZONE),10/29/2020,519,Tropical Storm,-999,0,0,6000,0,NC,EST-5,153855,Z,1,RNK,0,0,32.8,-87.5,60,986,1,0
926788,AVERY (ZONE),10/29/2020,700,Tropical Storm,1.92,0,0,0,0,NC,EST-5,153851,Z,33,GSP,0,0,32.8,-87.5,60,986,1,0
5579773,BEAUFORT (ZONE),7/12/1996,1000,Hurricane (Typhoon),4.25,0,0,250000,6000000,NC,EST,2054534,Z,80,MHX,0,0,31.63,-78.55,77,979,1,3
5580422,BEAUFORT (ZONE),9/4/1996,1800,Hurricane (Typhoon),2.21,0,0,10000000,0,NC,EST,2054545,Z,80,MHX,0,0,27.7,-75.5,105,952,2,3
5660833,BEAUFORT (ZONE),8/26/1998,0,Hurricane (Typhoon),5.5,0,0,0,0,NC,EST,2083672,Z,80,MHX,0,0,30.8,-76.4,100,958,2,0
5716388,BEAUFORT (ZONE),8/30/1999,0,Hurricane (Typhoon),5.87,0,0,0,0,NC,EST,2411425,Z,80,MHX,0,0,31.9,-78.1,90,964,1,0
5717542,BEAUFORT (ZONE),9/14/1999,2300,Hurricane (Typhoon),6.32,0,0,0,5200000,NC,EST,1087386,Z,80,MHX,0,0,26.64,-77.32,111,932,3,3
5717653,BEAUFORT (ZONE),10/16/1999,1700,Hurricane (Typhoon),4.34,1,0,0,0,NC,EST,1087389,Z,80,MHX,0,0,28.6,-79.9,65,984,0,0
5337057,BEAUFORT (ZONE),9/17/2003,1800,Hurricane (Typhoon),4.9,0,0,3600000,9200000,NC,EST,1163016,Z,80,MHX,0,0,30.6,-73,90,955,1,3
5421451,BEAUFORT (ZONE),8/3/2004,0,Hurricane (Typhoon),-999,0,0,0,0,NC,EST,1179720,Z,80,MHX,0,0,32.4,-78.2,60,987,0,3
5421504,BEAUFORT (ZONE),8/14/2004,0,Hurricane (Typhoon),-999,0,0,50000,125000,NC,EST,1179724,Z,80,MHX,0,0,39,-73.5,20,1012,-1,1
5479210,BEAUFORT (ZONE),9/13/2005,1200,Hurricane (Typhoon),4.44,0,0,50000,0,NC,EST,1199569,Z,80,MHX,0,0,32.1,-78,60,989,0,0
344851,BEAUFORT (ZONE),8/26/2011,0,Hurricane (Typhoon),11.4,0,0,10000000,10000000,NC,EST-5,57500,Z,80,MHX,1,1,27.7,-77.3,90,946,1,3
5580872,BEAUFORT (ZONE),6/18/1996,1300,Tropical Storm,-999,0,0,0,0,NC,EST,2054487,Z,80,MHX,0,0,29.7,-78.8,25,1008,-1,0
5579724,BEAUFORT (ZONE),6/18/1996,1300,Tropical Storm,-999,0,0,0,0,NC,EST,2054493,Z,80,MHX,0,0,29.7,-78.8,25,1008,-1,0
5581062,BEAUFORT (ZONE),10/8/1996,100,Tropical Storm,-999,0,0,0,0,NC,EST,2054560,Z,80,MHX,0,0,29.3,-84.5,60,983,0,0
5717319,BEAUFORT (ZONE),9/1/1999,0,Tropical Storm,-999,0,0,2000000,3000000,NC,EST,2413568,Z,80,MHX,0,0,35.2,-73.6,60,986,0,3
5525817,BEAUFORT (ZONE),8/31/2006,1200,Tropical Storm,-999,0,0,100000,0,NC,EST,1218288,Z,80,MHX,0,0,30.6,-79.9,55,995,0,1
139264,BEAUFORT (ZONE),9/5/2008,1200,Tropical Storm,1.08,0,0,20000,0,NC,EST-5,23869,Z,80,MHX,0,0,28.2,-78.5,55,980,0,0
451087,BEAUFORT (ZONE),6/6/2013,1800,Tropical Storm,1,0,0,0,0,NC,EST-5,74590,Z,80,MHX,0,0,28.9,-83.9,55,993,0,0
657567,BEAUFORT (ZONE),9/2/2016,1800,Tropical Storm,6.35,0,0,0,0,NC,EST-5,109780,Z,80,MHX,0,0,32.4,-81.2,50,990,0,0
663546,BEAUFORT (ZONE),10/8/2016,900,Tropical Storm,8.7,0,0,0,0,NC,EST-5,110427,Z,80,MHX,0,0,34.89,-75.28,67,983,0,0
787009,BEAUFORT (ZONE),9/13/2018,800,Tropical Storm,-999,0,0,4240000,0,NC,EST-5,130979,Z,80,MHX,0,0,32.78,-74.66,97,954,2,3
789565,BEAUFORT (ZONE),10/11/2018,1920,Tropical Storm,0.2,0,0,0,0,NC,EST-5,131976,Z,80,MHX,0,0,35.6,-80,45,991,0,0
849833,BEAUFORT (ZONE),9/6/2019,413,Tropical Storm,5.2,0,0,0,0,NC,EST-5,140548,Z,80,MHX,0,0,33.73,-77.41,90,956,1,0
909036,BEAUFORT (ZONE),8/4/2020,130,Tropical Storm,3.41,0,0,0,0,NC,EST-5,150781,Z,80,MHX,0,0,32.8,-79.1,80,986,1,0
5583533,BERTIE (ZONE),7/12/1996,1700,Hurricane (Typhoon),3.65,0,0,0,0,NC,EST,2056604,Z,30,AKQ,0,0,33.6,-78.1,90,974,1,0
5583704,BERTIE (ZONE),9/5/1996,1800,Hurricane (Typhoon),2.08,0,0,0,0,NC,EST,2056655,Z,30,AKQ,0,0,32.3,-77.8,100,952,2,0
5664940,BERTIE (ZONE),8/26/1998,2000,Hurricane (Typhoon),1.48,0,0,3400000,0,NC,EST,2148972,Z,30,AKQ,0,0,33.71,-77.75,97,962,2,3
5721677,BERTIE (ZONE),9/1/1999,0,Hurricane (Typhoon),2.83,0,0,5000,0,NC,EST,2413870,Z,30,AKQ,0,0,35.2,-73.6,60,986,0,0
5720107,BERTIE (ZONE),9/15/1999,1200,Hurricane (Typhoon),8.24,0,0,8800000,16600000,NC,EST,1088396,Z,30,AKQ,0,0,29.3,-78.9,100,943,2,3
5721132,BERTIE (ZONE),10/17/1999,1600,Hurricane (Typhoon),3.47,0,0,3000,0,NC,EST,2413977,Z,30,AKQ,0,0,28.6,-79.9,65,984,0,0
5370976,BERTIE (ZONE),9/18/2003,300,Hurricane (Typhoon),6.02,0,0,2500000,0,NC,EST,1163191,Z,30,AKQ,0,0,31.98,-73.87,90,954,1,3
5583722,BERTIE (ZONE),10/7/1996,1800,Tropical Storm,-999,0,0,0,0,NC,EST,2056659,Z,30,AKQ,0,0,28.2,-86,60,983,0,0
342666,BERTIE (ZONE),8/27/2011,100,Tropical Storm,10.07,0,0,800000,5000000,NC,EST-5,57094,Z,30,AKQ,0,0,32.1,-77.1,75,952,1,3
537717,BERTIE (ZONE),7/4/2014,0,Tropical Storm,-999,0,0,0,0,NC,EST-5,89214,Z,30,AKQ,0,0,34,-77.3,85,975,1,0
660770,BERTIE (ZONE),9/2/2016,1100,Tropical Storm,-999,0,0,0,0,NC,EST-5,110352,Z,30,AKQ,0,0,31.4,-82.8,50,989,0,0
857410,BERTIE (ZONE),9/5/2019,2300,Tropical Storm,2.52,0,0,15000,0,NC,EST-5,142904,Z,30,AKQ,0,0,33.04,-78.45,92,957,1,0
917015,BERTIE (ZONE),8/4/2020,100,Tropical Storm,2.33,0,0,500000,0,NC,EST-5,151991,Z,30,AKQ,0,0,32.8,-79.1,80,986,1,0
5418932,BLADEN (ZONE),8/14/2004,800,Hurricane (Typhoon),-999,0,3,100000,0,NC,EST,1178566,Z,96,ILM,0,0,31.2,-80.25,70,990,0,3
5419108,BLADEN (ZONE),8/29/2004,1600,Tropical Storm,-999,0,0,0,0,NC,EST,1178571,Z,96,ILM,0,0,18.71,-54.7,112,948,3,0
663405,BLADEN (ZONE),10/8/2016,500,Tropical Storm,18.85,2,0,0,0,NC,EST-5,110904,Z,96,ILM,0,0,34.7,-76,70,983,0,0
5564437,BRUNSWICK (ZONE),7/12/1996,1100,Hurricane (Typhoon),4.25,0,0,2000000,9000000,NC,EST,2048315,Z,100,ILM,0,0,32.2,-78.4,85,975,1,3
5578528,BRUNSWICK (ZONE),9/5/1996,1100,Hurricane (Typhoon),11.8,0,0,5000000,2000000,NC,EST,2054665,Z,100,ILM,0,0,31,-77.2,100,954,2,3
5664278,BRUNSWICK (ZONE),8/26/1998,600,Hurricane (Typhoon),10,0,0,35000000,64000000,NC,EST,2149107,Z,100,ILM,0,0,32.21,-77.62,100,964,2,3
5713261,BRUNSWICK (ZONE),8/30/1999,0,Hurricane (Typhoon),3.5,0,0,50000,0,NC,EST,2413336,Z,100,ILM,0,0,31.9,-78.1,90,964,1,1
5418931,BRUNSWICK (ZONE),8/14/2004,800,Hurricane (Typhoon),-999,0,0,6300000,2000000,NC,EST,1178566,Z,100,ILM,0,0,31.2,-80.25,70,990,0,3
5478429,BRUNSWICK (ZONE),9/14/2005,600,Hurricane (Typhoon),11.66,0,0,2300000,0,NC,EST,1199627,Z,100,ILM,0,0,32.9,-78,70,980,0,3
5558016,BRUNSWICK (ZONE),6/18/1996,1000,Tropical Storm,-999,0,0,0,0,NC,EST,2041485,Z,100,ILM,0,0,29.15,-78.85,25,1008,-1,0
5337054,BRUNSWICK (ZONE),9/18/2003,800,Tropical Storm,1.65,0,0,0,0,NC,EST,1163014,Z,100,ILM,0,0,33.07,-74.72,90,956,1,0
5419178,BRUNSWICK (ZONE),8/29/2004,1600,Tropical Storm,-999,0,0,0,0,NC,EST,1178571,Z,100,ILM,0,0,18.71,-54.7,112,948,3,0
5529209,BRUNSWICK (ZONE),8/31/2006,1830,Tropical Storm,-999,0,0,0,355000,NC,EST,1218621,Z,100,ILM,0,0,31.9,-79.2,60,993,0,3
5533261,BRUNSWICK (ZONE),9/1/2006,0,Tropical Storm,-999,0,0,0,0,NC,EST,1221647,Z,100,ILM,0,0,33.2,-78.4,60,988,0,0
136401,BRUNSWICK (ZONE),9/6/2008,130,Tropical Storm,-999,0,0,0,0,NC,EST-5,23343,Z,100,ILM,0,0,31.5,-79.3,60,980,0,0
926807,BURKE MOUNTAINS (ZONE),10/29/2020,700,Tropical Storm,1.41,0,0,0,0,NC,EST-5,153851,Z,503,GSP,0,0,32.8,-87.5,60,986,0,0
791109,CABARRUS (ZONE),10/11/2018,1100,Tropical Storm,-999,0,0,5000,0,NC,EST-5,132213,Z,72,GSP,0,0,34.1,-81.7,45,987,0,1
926805,CABARRUS (ZONE),10/29/2020,700,Tropical Storm,-999,0,0,0,0,NC,EST-5,153851,Z,72,GSP,0,0,32.8,-87.5,60,986,0,0
5583531,CAMDEN (ZONE),7/12/1996,1700,Hurricane (Typhoon),-999,0,0,0,0,NC,EST,2056604,Z,16,AKQ,0,0,33.6,-78.1,90,974,1,0
5583702,CAMDEN (ZONE),9/5/1996,1800,Hurricane (Typhoon),-999,0,0,0,0,NC,EST,2056655,Z,16,AKQ,0,0,32.3,-77.8,100,952,2,0
5664941,CAMDEN (ZONE),8/26/1998,2000,Hurricane (Typhoon),-999,0,0,2000000,0,NC,EST,2148972,Z,16,AKQ,0,0,33.71,-77.75,97,962,2,3
5721678,CAMDEN (ZONE),9/1/1999,0,Hurricane (Typhoon),-999,0,0,5000,0,NC,EST,2413870,Z,16,AKQ,0,0,35.2,-73.6,60,986,0,0
5720108,CAMDEN (ZONE),9/15/1999,1200,Hurricane (Typhoon),-999,0,0,500000,6200000,NC,EST,1088396,Z,16,AKQ,0,0,29.3,-78.9,100,943,2,3
5721133,CAMDEN (ZONE),10/17/1999,1600,Hurricane (Typhoon),-999,0,0,5000,0,NC,EST,2413977,Z,16,AKQ,0,0,28.6,-79.9,65,984,0,0
5370977,CAMDEN (ZONE),9/18/2003,300,Hurricane (Typhoon),-999,0,0,99000,0,NC,EST,1163191,Z,16,AKQ,0,0,31.98,-73.87,90,954,1,1
