EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5568580,STANLY (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,73,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",1
5568578,WAKE (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,41,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",2
5568577,CHATHAM (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,40,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",3
5568590,CUMBERLAND (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,88,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",4
5568589,HOKE (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,86,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",5
5568579,JOHNSTON (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,42,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",6
5568583,LEE (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,76,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",7
5568566,FORSYTH (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,21,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",8
5568564,WARREN (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,10,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",9
5568565,HALIFAX (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,11,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",10
5568586,ANSON (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,83,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",11
5568591,SAMPSON (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,89,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",12
5568585,WAYNE (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,78,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",13
5568584,HARNETT (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,77,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",14
5568561,PERSON (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,7,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",15
5568569,ORANGE (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,24,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",16
5568573,EDGECOMBE (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,28,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",17
5568571,FRANKLIN (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,26,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",18
5568576,RANDOLPH (ZONE), ,7/12/1996,800,Hurricane (Typhoon), , ,0,0,0,0,NC,EST, ,2045671,Z,39,RAH,0,0, , , , , , , , , ,7/12/1996,2300, , , , ,,"Hurricane Bertha moved along the edge of the NWSFO Raleigh county warning area. Three counties sustained substantial crop damage:
Wayne $12 million, Wilson $7 million, and Johnston $2 million.
Structural damage was light and was primarily caused by trees on homes and cars.  The hardest hit county was Wayne where property damage was estimated at $500 thousand. Power outages were widespread in the eastern counties as trees took down power lines. Two F0 tornadoes occurred: one in Wake and one in Wilson counties. No injuries or deaths were reported.

The highest wind recorded was 60 mph at Seymour Johnson AFB near Goldsboro. Greatest rainfall was four inches, also at the AFB.",19
