EVENT_ID,CZ_NAME_STR,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,Rain Fall (In),DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,Latitude,Longitude,Wind Speed,Min Pressure,CAT,COUNTY RISK,Total Casualties,Total Cost
5580403,EASTERN DARE (ZONE),7/12/1996,1000,Hurricane (Typhoon),3.6,1,0,50000,0,NC,EST,2054534,Z,103,MHX,0,0,31.63,-78.55,77,979,1,1,1,50000
5580402,ONSLOW (ZONE),7/12/1996,1000,Hurricane (Typhoon),7,0,10,73000000,30000000,NC,EST,2054534,Z,98,MHX,0,0,31.63,-78.55,77,979,1,3,10,103000000
5580417,PITT (ZONE),9/4/1996,1800,Hurricane (Typhoon),3.55,1,1,500000,0,NC,EST,2054545,Z,44,MHX,0,0,27.7,-75.5,105,952,2,2,2,500000
5580430,ONSLOW (ZONE),9/4/1996,1800,Hurricane (Typhoon),3.5,2,2,500000000,0,NC,EST,2054545,Z,98,MHX,0,0,27.7,-75.5,105,952,2,3,4,500000000
5580424,DUPLIN (ZONE),9/4/1996,1800,Hurricane (Typhoon),-999,1,1,50000000,0,NC,EST,2054545,Z,90,MHX,0,0,27.7,-75.5,105,952,2,2,2,50000000
5578510,PENDER (ZONE),9/5/1996,1200,Hurricane (Typhoon),9,2,0,180000000,46000000,NC,EST,2054648,Z,97,ILM,0,0,32.3,-77.2,100,954,2,3,2,226000000
5580042,ALAMANCE (ZONE),9/5/1996,1700,Hurricane (Typhoon),6.65,1,0,0,0,NC,EST,2053170,Z,23,RAH,0,0,32.3,-77.8,100,952,2,1,1,0
5580059,WAYNE (ZONE),9/5/1996,1700,Hurricane (Typhoon),4.2,1,1,0,0,NC,EST,2053170,Z,78,RAH,0,0,32.3,-77.8,100,952,2,1,2,0
5580044,DURHAM (ZONE),9/5/1996,1700,Hurricane (Typhoon),6.7,1,0,0,0,NC,EST,2053170,Z,25,RAH,0,0,32.3,-77.8,100,952,2,1,1,0
5580052,JOHNSTON (ZONE),9/5/1996,1700,Hurricane (Typhoon),6.37,1,1,0,0,NC,EST,2053170,Z,42,RAH,0,0,32.3,-77.8,100,952,2,1,2,0
5580051,WAKE (ZONE),9/5/1996,1700,Hurricane (Typhoon),8.32,3,0,0,0,NC,EST,2053170,Z,41,RAH,0,0,32.3,-77.8,100,952,2,1,3,0
5664944,WESTERN CURRITUCK (ZONE),8/26/1998,2000,Hurricane (Typhoon),-999,1,0,2000000,0,NC,EST,2148972,Z,17,AKQ,0,0,33.71,-77.75,97,962,2,1,1,2000000
5717550,LENOIR (ZONE),9/14/1999,2300,Hurricane (Typhoon),12.4,1,0,150000000,160000000,NC,EST,1087386,Z,91,MHX,0,0,26.64,-77.32,111,932,3,2,1,310000000
5717549,JONES (ZONE),9/14/1999,2300,Hurricane (Typhoon),10.77,1,0,0,9800000,NC,EST,1087386,Z,92,MHX,0,0,26.64,-77.32,111,932,3,2,1,9800000
5717544,CRAVEN (ZONE),9/14/1999,2300,Hurricane (Typhoon),4.09,2,0,1500000,2000000,NC,EST,1087386,Z,93,MHX,0,0,29.3,-77.32,111,932,3,2,2,3500000
5717545,DUPLIN (ZONE),9/14/1999,2300,Hurricane (Typhoon),13.3,3,0,0,68100000,NC,EST,1087386,Z,90,MHX,0,0,29.92,-77.32,111,932,3,2,3,68100000
5717554,PITT (ZONE),9/14/1999,2300,Hurricane (Typhoon),10.75,5,0,200000000,96000000,NC,EST,1087386,Z,44,MHX,0,0,29.92,-77.32,111,932,3,3,5,296000000
5717552,ONSLOW (ZONE),9/14/1999,2300,Hurricane (Typhoon),4.58,1,0,13100000,8200000,NC,EST,1087386,Z,98,MHX,0,0,29.92,-77.32,111,932,3,3,1,21300000
5717653,BEAUFORT (ZONE),10/16/1999,1700,Hurricane (Typhoon),4.34,1,0,0,0,NC,EST,1087389,Z,80,MHX,0,0,30.6,-79.9,65,984,0,1,1,0
5370978,CHOWAN (ZONE),9/18/2003,300,Hurricane (Typhoon),7.75,1,0,7600000,0,NC,EST,1163191,Z,31,AKQ,0,0,33.07,-73.87,90,954,1,1,1,7600000
5337294,FRANKLIN (ZONE),9/18/2003,900,Hurricane (Typhoon),1.91,1,0,209000,0,NC,EST,1162664,Z,26,RAH,0,0,32.4,-74.72,90,956,1,1,1,209000
5418932,BLADEN (ZONE),8/14/2004,800,Hurricane (Typhoon),-999,0,3,100000,0,NC,EST,1178566,Z,96,ILM,0,0,32.1,-80.25,70,990,0,1,3,100000
5479211,CARTERET (ZONE),9/13/2005,1200,Hurricane (Typhoon),9.3,0,5,27900000,3000000,NC,EST,1199569,Z,95,MHX,0,0,27.7,-78,60,989,0,3,5,30900000
344851,BEAUFORT (ZONE),8/26/2011,0,Hurricane (Typhoon),11.4,0,0,10000000,10000000,NC,EST-5,57500,Z,80,MHX,1,1,31.6,-77.3,90,946,1,2,2,20000000
786760,INLAND NEW HANOVER (ZONE),9/14/2018,615,Hurricane,21,0,1,1000000000,0,NC,EST-5,130719,Z,107,ILM,0,0,29.7,-74.66,97,954,2,3,1,1000000000
786993,COASTAL NEW HANOVER (ZONE),9/25/2018,1200,Hurricane,0.56,0,0,0,0,NC,EST-5,131561,Z,108,ILM,0,1,29.7,-75.1,95,954,1,1,1,0
5525827,ONSLOW (ZONE),8/31/2006,1200,Tropical Storm,-999,0,1,500000,0,NC,EST,1218288,Z,98,MHX,0,0,33.9,-79.9,55,995,0,1,1,500000
344885,PITT (ZONE),8/26/2011,0,Tropical Storm,12.32,2,0,10000000,38000000,NC,EST-5,57500,Z,44,MHX,0,0,32.1,-77.3,90,946,1,3,2,48000000
344881,ONSLOW (ZONE),8/26/2011,0,Tropical Storm,11.7,0,0,10000000,15700000,NC,EST-5,57500,Z,98,MHX,0,1,32.1,-77.3,90,946,1,3,1,25700000
663407,ROBESON (ZONE),10/8/2016,500,Tropical Storm,10.47,0,0,0,0,NC,EST-5,110904,Z,87,ILM,0,1,34.89,-76,70,983,0,0,1,0
663564,COLUMBUS (ZONE),10/8/2016,500,Tropical Storm,13.87,1,0,91000000,0,NC,EST-5,110904,Z,99,ILM,0,0,34.89,-76,70,983,0,2,1,91000000
663405,BLADEN (ZONE),10/8/2016,500,Tropical Storm,18.85,2,0,0,0,NC,EST-5,110904,Z,96,ILM,0,0,34.89,-76,70,983,0,0,2,0
663637,PITT (ZONE),10/8/2016,1000,Tropical Storm,7.85,1,1,0,0,NC,EST-5,110427,Z,44,MHX,0,0,32.78,-75.28,67,983,0,1,2,0
785716,WAYNE (ZONE),9/13/2018,1600,Tropical Storm,25.18,0,0,1000000,0,NC,EST-5,131166,Z,78,RAH,0,1,34,-75.58,92,953,1,1,1,1000000
785715,CUMBERLAND (ZONE),9/13/2018,1600,Tropical Storm,18.38,0,0,1500000,0,NC,EST-5,131166,Z,88,RAH,0,2,34,-75.58,92,953,1,1,2,1500000
785711,SAMPSON (ZONE),9/13/2018,1600,Tropical Storm,15.22,0,0,1000000,0,NC,EST-5,131166,Z,89,RAH,0,2,33.59,-75.58,92,953,1,1,2,1000000
785741,LENOIR (ZONE),9/13/2018,2200,Tropical Storm,-999,0,0,0,0,NC,EST-5,130979,Z,91,MHX,0,1,35,-76.27,90,952,1,1,1,0
785740,LENOIR (ZONE),9/14/2018,0,Tropical Storm,18.36,0,0,0,0,NC,EST-5,130979,Z,91,MHX,0,1,34.1,-76.5,90,952,1,1,1,0
785747,DUPLIN (ZONE),9/17/2018,0,Tropical Storm,26.26,0,0,0,0,NC,EST-5,130979,Z,90,MHX,0,1,34.1,-82.2,25,1007,-1,0,1,0
785748,DUPLIN (ZONE),9/17/2018,0,Tropical Storm,26.26,0,0,0,0,NC,EST-5,130979,Z,90,MHX,0,1,34.1,-82.2,25,1007,-1,0,1,0
785756,CRAVEN (ZONE),9/18/2018,0,Tropical Storm,15.28,0,0,0,0,NC,EST-5,130979,Z,93,MHX,0,1,34.1,-82.2,25,1007,-1,0,1,0
789616,WAKE (ZONE),10/11/2018,1200,Tropical Storm,2.7,0,1,200000,0,NC,EST-5,131955,Z,41,RAH,0,0,34.88,-81.7,45,987,0,0,1,200000
